id,buying,maint,doors,persons,lug_boot,safety,class_name
1415,high,med,4,2,big,med,unacc
1416,med,high,5more,more,small,med,unacc
1417,med,high,3,more,small,med,unacc
1418,low,vhigh,4,more,med,low,unacc
1419,high,low,5more,more,big,high,acc
1420,med,vhigh,4,2,big,high,unacc
1421,low,low,3,4,med,high,good
1422,vhigh,high,3,4,small,med,unacc
1423,med,vhigh,5more,4,med,high,acc
1424,high,vhigh,4,more,small,low,unacc
1425,high,med,2,more,small,low,unacc
1426,med,vhigh,2,more,big,high,acc
1427,vhigh,high,5more,2,small,med,unacc
1428,med,med,2,more,med,high,acc
1429,high,low,4,2,small,med,unacc
1430,high,med,3,2,big,low,unacc
1431,high,high,5more,2,small,med,unacc
1432,high,low,2,more,med,high,acc
1433,vhigh,vhigh,2,more,med,med,unacc
1434,med,med,5more,more,big,high,vgood
1435,high,vhigh,3,more,small,low,unacc
1436,high,low,5more,2,small,high,unacc
1437,low,low,4,4,med,high,vgood
1438,high,med,4,2,big,high,unacc
1439,vhigh,high,3,2,med,high,unacc
1440,high,high,5more,more,big,low,unacc
1441,vhigh,med,3,4,small,med,unacc
1442,med,low,5more,2,small,low,unacc
1443,med,vhigh,4,4,small,low,unacc
1444,low,high,3,2,med,low,unacc
1445,high,low,2,more,big,high,acc
1446,high,high,3,more,med,low,unacc
1447,high,med,4,more,med,low,unacc
1448,med,vhigh,3,2,big,high,unacc
1449,low,low,4,2,big,med,unacc
1450,med,high,4,4,big,high,acc
1451,low,med,4,4,small,low,unacc
1452,low,med,5more,4,med,med,good
1453,med,high,2,2,big,low,unacc
1454,vhigh,med,4,2,big,low,unacc
1455,high,high,4,more,med,med,acc
1456,med,high,3,4,med,med,unacc
1457,med,med,3,2,small,high,unacc
1458,med,med,4,4,med,high,vgood
1459,vhigh,low,5more,4,med,med,acc
1460,high,vhigh,3,2,small,low,unacc
1461,high,high,4,more,big,high,acc
1462,high,vhigh,2,4,med,med,unacc
1463,med,med,4,more,small,low,unacc
1464,high,high,2,2,med,med,unacc
1465,vhigh,vhigh,2,2,small,med,unacc
1466,vhigh,vhigh,5more,4,big,high,unacc
1467,low,high,2,2,small,low,unacc
1468,med,vhigh,5more,4,small,low,unacc
1469,high,low,2,2,med,high,unacc
1470,med,high,4,4,small,low,unacc
1471,vhigh,vhigh,3,more,small,med,unacc
1472,med,med,4,more,med,low,unacc
1473,low,med,5more,more,small,high,good
1474,med,med,3,2,small,low,unacc
1475,low,high,4,more,small,high,acc
1476,high,vhigh,3,2,small,high,unacc
1477,med,low,3,more,small,med,acc
1478,vhigh,med,3,more,med,med,acc
1479,vhigh,high,4,4,med,med,unacc
1480,med,low,4,2,big,high,unacc
1481,med,high,5more,2,big,high,unacc
1482,med,high,4,more,big,med,acc
1483,low,vhigh,2,4,small,med,unacc
1484,high,vhigh,4,4,small,med,unacc
1485,vhigh,low,5more,4,small,med,unacc
1486,vhigh,high,5more,2,small,high,unacc
1487,low,vhigh,3,2,big,low,unacc
1488,med,high,5more,more,med,low,unacc
1489,vhigh,med,5more,more,big,med,acc
1490,low,low,2,2,big,high,unacc
1491,low,high,3,4,med,low,unacc
1492,vhigh,high,2,more,small,med,unacc
1493,med,high,3,more,small,low,unacc
1494,high,vhigh,2,more,small,low,unacc
1495,med,high,4,2,small,med,unacc
1496,vhigh,high,4,4,med,low,unacc
1497,vhigh,vhigh,5more,2,big,med,unacc
1498,high,low,4,2,med,high,unacc
1499,med,high,3,4,big,med,acc
1500,med,med,5more,4,med,med,acc
1501,med,high,5more,more,med,med,acc
1502,vhigh,med,3,4,big,low,unacc
1503,high,high,3,4,big,high,acc
1504,low,low,4,more,small,med,acc
1505,vhigh,med,4,2,med,low,unacc
1506,vhigh,high,4,more,big,med,unacc
1507,high,low,2,4,small,low,unacc
1508,vhigh,vhigh,5more,more,small,low,unacc
1509,med,low,3,4,med,med,acc
1510,vhigh,high,2,4,big,low,unacc
1511,vhigh,vhigh,2,4,med,med,unacc
1512,med,med,3,more,small,high,acc
1513,med,high,5more,4,small,med,unacc
1514,vhigh,vhigh,2,2,big,high,unacc
1515,vhigh,vhigh,4,more,small,med,unacc
1516,med,vhigh,5more,more,med,high,acc
1517,vhigh,med,2,2,small,high,unacc
1518,high,vhigh,3,2,med,low,unacc
1519,low,low,2,4,med,low,unacc
1520,high,vhigh,4,2,big,high,unacc
1521,low,low,2,2,med,med,unacc
1522,vhigh,med,3,more,med,low,unacc
1523,vhigh,vhigh,4,2,small,med,unacc
1524,high,low,3,2,small,high,unacc
1525,vhigh,low,3,4,med,low,unacc
1526,high,low,5more,more,med,low,unacc
1527,low,vhigh,2,2,big,high,unacc
1528,high,med,4,4,small,high,acc
1529,high,high,3,2,small,med,unacc
1530,low,vhigh,2,2,big,med,unacc
1531,high,low,3,2,med,high,unacc
1532,vhigh,med,2,more,big,med,acc
1533,med,low,5more,more,big,high,vgood
1534,high,med,5more,more,big,med,acc
1535,vhigh,high,2,2,small,low,unacc
1536,low,low,3,2,med,med,unacc
1537,low,low,2,4,big,low,unacc
1538,low,low,5more,more,med,high,vgood
1539,high,med,5more,more,big,low,unacc
1540,med,med,5more,4,small,high,acc
1541,low,high,5more,more,small,high,acc
1542,vhigh,high,5more,4,big,low,unacc
1543,high,med,4,4,big,high,acc
1544,high,med,4,4,big,med,acc
1545,high,vhigh,3,more,big,med,unacc
1546,low,vhigh,5more,more,med,high,acc
1547,low,low,3,4,med,low,unacc
1548,high,low,4,more,small,high,acc
1549,low,med,2,more,big,low,unacc
1550,high,high,5more,2,big,high,unacc
1551,med,low,4,2,med,low,unacc
1552,low,med,4,4,small,med,acc
1553,low,high,4,more,small,low,unacc
1554,med,low,5more,4,med,med,good
1555,med,low,2,more,small,high,unacc
1556,vhigh,vhigh,4,4,small,high,unacc
1557,low,med,5more,2,small,low,unacc
1558,high,vhigh,2,2,big,low,unacc
1559,vhigh,low,5more,4,big,med,acc
1560,vhigh,vhigh,3,2,small,high,unacc
1561,vhigh,high,4,2,big,low,unacc
1562,low,vhigh,5more,4,big,high,acc
1563,high,low,3,2,big,low,unacc
1564,vhigh,vhigh,2,2,med,high,unacc
1565,vhigh,low,2,more,big,high,acc
1566,low,vhigh,4,more,small,high,acc
1567,high,vhigh,5more,more,small,med,unacc
1568,low,med,3,4,small,low,unacc
1569,med,vhigh,2,4,med,low,unacc
1570,low,med,4,more,small,high,good
1571,med,low,5more,4,med,high,vgood
1572,low,med,4,2,small,high,unacc
1573,vhigh,vhigh,3,more,med,low,unacc
1574,low,med,4,2,big,med,unacc
1575,vhigh,med,3,4,med,low,unacc
1576,med,vhigh,2,4,med,med,unacc
1577,med,low,4,more,big,high,vgood
1578,vhigh,med,5more,2,small,med,unacc
1579,low,low,3,more,small,high,good
1580,low,vhigh,4,4,big,high,acc
1581,med,high,5more,more,med,high,acc
1582,vhigh,med,3,4,small,low,unacc
1583,low,vhigh,2,more,med,med,unacc
1584,high,vhigh,4,more,big,high,unacc
1585,high,low,3,4,big,low,unacc
1586,vhigh,vhigh,5more,4,big,med,unacc
1587,high,high,3,2,med,high,unacc
1588,low,high,5more,4,big,med,acc
1589,low,med,5more,more,big,low,unacc
1590,vhigh,med,4,4,big,high,acc
1591,high,low,2,more,med,low,unacc
1592,vhigh,med,3,2,small,high,unacc
1593,low,vhigh,2,4,med,high,acc
1594,low,low,3,2,med,high,unacc
1595,low,vhigh,5more,4,big,low,unacc
1596,high,vhigh,5more,2,small,med,unacc
1597,med,med,4,2,med,low,unacc
1598,low,low,5more,2,small,low,unacc
1599,med,low,3,4,small,med,acc
1600,med,low,3,more,small,low,unacc
1601,high,med,3,more,big,high,acc
1602,low,low,4,2,med,med,unacc
1603,vhigh,med,2,2,small,low,unacc
1604,med,high,3,more,big,med,acc
1605,high,med,5more,more,small,med,unacc
1606,med,med,5more,2,big,med,unacc
1607,med,high,4,2,small,low,unacc
1608,high,low,5more,4,small,low,unacc
1609,med,high,4,more,med,med,acc
1610,med,low,4,4,med,high,vgood
1611,med,low,5more,2,big,med,unacc
1612,vhigh,med,4,2,med,med,unacc
1613,med,low,2,more,med,low,unacc
1614,high,vhigh,4,2,med,low,unacc
1615,vhigh,low,5more,more,med,low,unacc
1616,high,vhigh,4,2,big,med,unacc
1617,high,high,3,2,big,med,unacc
1618,high,low,4,2,med,med,unacc
1619,low,low,2,more,big,low,unacc
1620,low,med,5more,more,med,med,good
1621,vhigh,vhigh,2,more,small,low,unacc
1622,vhigh,low,5more,4,med,low,unacc
1623,vhigh,high,5more,more,small,med,unacc
1624,med,vhigh,4,4,big,high,acc
1625,low,med,2,4,big,high,vgood
1626,vhigh,vhigh,4,4,med,low,unacc
1627,med,med,3,more,med,low,unacc
1628,low,high,4,4,med,low,unacc
1629,med,vhigh,3,more,med,med,acc
1630,low,vhigh,4,more,big,high,acc
1631,med,high,2,4,big,med,acc
1632,med,med,3,more,small,low,unacc
1633,high,low,3,4,med,high,acc
1634,vhigh,vhigh,2,more,small,med,unacc
1635,high,high,2,2,small,low,unacc
1636,vhigh,vhigh,2,2,big,med,unacc
1637,low,vhigh,3,more,small,high,acc
1638,vhigh,high,5more,2,small,low,unacc
1639,low,low,4,more,small,high,good
1640,vhigh,med,2,more,med,med,unacc
1641,vhigh,high,2,more,med,low,unacc
1642,low,high,3,more,med,med,acc
1643,high,med,4,2,small,high,unacc
1644,med,low,4,more,big,med,good
1645,med,vhigh,2,more,small,low,unacc
1646,vhigh,med,4,2,big,med,unacc
1647,vhigh,low,2,more,small,med,unacc
1648,vhigh,high,3,4,big,high,unacc
1649,vhigh,low,4,4,small,low,unacc
1650,high,med,4,more,med,high,acc
1651,low,high,5more,4,big,high,vgood
1652,vhigh,vhigh,2,more,big,high,unacc
1653,low,vhigh,4,2,big,high,unacc
1654,med,vhigh,4,more,big,med,acc
1655,vhigh,vhigh,3,2,big,med,unacc
1656,low,vhigh,2,4,med,med,unacc
1657,low,med,5more,more,med,high,vgood
1658,med,vhigh,2,4,big,med,acc
1659,vhigh,vhigh,4,2,small,low,unacc
1660,med,med,4,2,small,med,unacc
1661,med,vhigh,2,2,big,high,unacc
1662,vhigh,med,2,4,med,high,acc
1663,high,high,2,more,big,med,acc
1664,low,vhigh,4,2,small,low,unacc
1665,vhigh,high,4,2,med,med,unacc
1666,low,med,2,2,med,med,unacc
1667,med,med,2,2,med,low,unacc
1668,med,vhigh,4,more,small,med,unacc
1669,high,low,2,4,med,low,unacc
1670,vhigh,med,5more,more,big,low,unacc
1671,low,med,4,2,small,med,unacc
1672,vhigh,high,5more,more,small,high,unacc
1673,vhigh,vhigh,5more,more,big,low,unacc
1674,med,med,2,2,big,high,unacc
1675,low,med,2,more,small,med,unacc
1676,high,high,3,4,small,high,acc
1677,vhigh,high,2,4,med,high,unacc
1678,high,low,4,more,big,med,acc
1679,vhigh,med,3,4,med,med,unacc
1680,low,vhigh,4,2,big,med,unacc
1681,vhigh,med,2,2,med,low,unacc
1682,med,med,3,4,big,med,acc
1683,med,high,2,more,big,low,unacc
1684,low,high,4,more,big,med,acc
1685,vhigh,high,4,2,med,high,unacc
1686,med,low,2,more,med,high,good
1687,high,vhigh,5more,4,big,high,unacc
1688,high,med,3,2,small,low,unacc
1689,high,low,4,more,med,low,unacc
1690,vhigh,low,3,2,small,high,unacc
1691,vhigh,low,2,4,big,med,acc
1692,med,low,3,more,med,low,unacc
1693,high,vhigh,2,4,small,high,unacc
1694,low,high,4,4,big,low,unacc
1695,low,high,4,2,small,high,unacc
1696,med,low,4,more,small,high,good
1697,low,vhigh,2,2,small,high,unacc
1698,high,med,3,more,small,med,unacc
1699,high,high,5more,4,med,low,unacc
1700,vhigh,vhigh,5more,2,big,low,unacc
1701,high,vhigh,5more,more,med,med,unacc
1702,high,high,5more,4,big,low,unacc
1703,high,vhigh,3,2,med,med,unacc
1704,vhigh,vhigh,3,2,big,high,unacc
1705,vhigh,low,2,2,med,med,unacc
1706,high,high,5more,more,med,high,acc
1707,high,med,2,more,big,med,acc
1708,vhigh,vhigh,4,4,med,high,unacc
1709,high,low,5more,4,big,med,acc
1710,vhigh,high,4,2,small,med,unacc
1711,med,low,4,2,big,low,unacc
1712,med,low,3,more,big,med,good
1713,med,med,4,more,big,high,vgood
1714,low,high,4,4,med,high,vgood
1715,med,low,3,4,big,high,vgood
1716,high,med,3,4,small,low,unacc
1717,med,low,5more,more,small,low,unacc
1718,med,low,5more,2,med,high,unacc
1719,high,low,4,4,small,high,acc
1720,med,vhigh,2,4,big,low,unacc
1721,high,med,5more,more,small,high,acc
1722,low,low,2,2,med,high,unacc
1723,med,low,3,4,big,low,unacc
1724,high,high,4,2,med,med,unacc
1725,med,vhigh,2,more,small,high,unacc
1726,high,low,3,2,small,med,unacc
1727,low,low,3,more,small,low,unacc
1728,med,med,5more,4,big,high,vgood
